Code,Symbol,Name,Market,Sector
477380.KQ,477380,미래에셋비전스팩4호,KOSDAQ,금융 지원 서비스업
145170.KQ,145170,노브랜드,KOSDAQ,편조의복 제조업
456010.KQ,456010,아이씨티케이,KOSDAQ,반도체 제조업
443060.KS,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업"
473000.KQ,473000,SK증권제12호스팩,KOSDAQ,금융 지원 서비스업
126730.KQ,126730,코칩,KOSDAQ,전자부품 제조업
452200.KQ,452200,민테크,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
140430.KQ,140430,카티스,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
347850.KQ,347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업
474490.KQ,474490,유안타제16호스팩,KOSDAQ,금융 지원 서비스업
412540.KQ,412540,제일엠앤에스,KOSDAQ,특수 목적용 기계 제조업
451250.KQ,451250,삐아,KOSDAQ,기타 화학제품 제조업
475250.KQ,475250,하나33호스팩,KOSDAQ,금융 지원 서비스업
474930.KQ,474930,신한제13호스팩,KOSDAQ,금융 지원 서비스업
474660.KQ,474660,신한제12호스팩,KOSDAQ,금융 지원 서비스업
461030.KQ,461030,아이엠비디엑스,KOSDAQ,자연과학 및 공학 연구개발업
475150.KS,475150,SK이터닉스,KOSPI,건물 건설업
475240.KQ,475240,하나32호스팩,KOSDAQ,금융 지원 서비스업
455900.KQ,455900,엔젤로보틱스,KOSDAQ,특수 목적용 기계 제조업
420570.KQ,420570,제이투케이바이오,KOSDAQ,기타 화학제품 제조업
437730.KQ,437730,삼현,KOSDAQ,자동차 신품 부품 제조업
036220.KQ,036220,오상헬스케어,KOSDAQ,의료용 기기 제조업
199430.KQ,199430,케이엔알시스템,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
469900.KQ,469900,하나31호스팩,KOSDAQ,금융 지원 서비스업
472230.KQ,472230,SK증권제11호스팩,KOSDAQ,금융 지원 서비스업
473050.KQ,473050,유안타제15호스팩,KOSDAQ,금융 지원 서비스업
468760.KQ,468760,유진스팩10호,KOSDAQ,금융 지원 서비스업
278470.KS,278470,에이피알,KOSPI,기타 화학제품 제조업
418620.KQ,418620,E8,KOSDAQ,소프트웨어 개발 및 공급업
360350.KQ,360350,코셈,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
068100.KQ,068100,케이웨더,KOSDAQ,일반 목적용 기계 제조업
452430.KQ,452430,사피엔반도체,KOSDAQ,반도체 제조업
443670.KQ,443670,에스피소프트,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
415380.KQ,415380,스튜디오삼익,KOSDAQ,기타 생활용품 소매업
472220.KQ,472220,신영스팩10호,KOSDAQ,금융 지원 서비스업
472850.KQ,472850,폰드그룹,KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업"
469480.KQ,469480,IBKS제24호스팩,KOSDAQ,금융 지원 서비스업
199550.KQ,199550,레이저옵텍,KOSDAQ,의료용 기기 제조업
452400.KQ,452400,이닉스,KOSDAQ,자동차 신품 부품 제조업
066970.KS,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업
105760.KQ,105760,포스뱅크,KOSDAQ,일반 목적용 기계 제조업
460930.KQ,460930,현대힘스,KOSDAQ,선박 및 보트 건조업
440290.KQ,440290,HB인베스트먼트,KOSDAQ,기타 금융업
362990.KQ,362990,드림인사이트,KOSDAQ,광고업
471050.KQ,471050,대신밸런스제17호스팩,KOSDAQ,금융 지원 서비스업
457550.KQ,457550,우진엔텍,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업"
267080.KS,267080,세븐브로이맥주,KOSPI,알코올음료 제조업
452190.KQ,452190,한빛레이저,KOSDAQ,특수 목적용 기계 제조업
022100.KS,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업"
017860.KS,017860,DS단석,KOSPI,기타 화학제품 제조업
469880.KQ,469880,하나30호스팩,KOSDAQ,금융 지원 서비스업
109670.KQ,109670,씨싸이트,KOSDAQ,봉제의복 제조업
439580.KQ,439580,블루엠텍,KOSDAQ,기타 전문 도매업
417200.KQ,417200,LS머트리얼즈,KOSDAQ,전자부품 제조업
432470.KQ,432470,케이엔에스,KOSDAQ,특수 목적용 기계 제조업
465320.KQ,465320,교보15호스팩,KOSDAQ,금융 지원 서비스업
338840.KQ,338840,와이바이오로직스,KOSDAQ,자연과학 및 공학 연구개발업
355690.KQ,355690,에이텀,KOSDAQ,전자부품 제조업
453860.KQ,453860,에이에스텍,KOSDAQ,기타 화학제품 제조업
402490.KQ,402490,그린리소스,KOSDAQ,반도체 제조업
452160.KQ,452160,제이엔비,KOSDAQ,특수 목적용 기계 제조업
452280.KQ,452280,한선엔지니어링,KOSDAQ,기타 금속 가공제품 제조업
111380.KS,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업"
448280.KQ,448280,에코아이,KOSDAQ,기타 전문 서비스업
352090.KQ,352090,스톰테크,KOSDAQ,플라스틱제품 제조업
450080.KS,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업
452300.KQ,452300,캡스톤파트너스,KOSDAQ,기타 금융업
296160.KS,296160,프로젠,KOSPI,자연과학 및 공학 연구개발업
365330.KQ,365330,에스와이스틸텍,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업"
445090.KQ,445090,에이직랜드,KOSDAQ,반도체 제조업
446540.KQ,446540,메가터치,KOSDAQ,일차전지 및 이차전지 제조업
413640.KQ,413640,비아이매트릭스,KOSDAQ,소프트웨어 개발 및 공급업
451760.KQ,451760,컨텍,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
372320.KQ,372320,큐로셀,KOSDAQ,자연과학 및 공학 연구개발업
088280.KQ,088280,쏘닉스,KOSDAQ,반도체 제조업
188260.KQ,188260,세니젠,KOSDAQ,그외 기타 제품 제조업
290560.KQ,290560,파라택시스이더리움,KOSDAQ,소프트웨어 개발 및 공급업
240600.KQ,240600,유진테크놀로지,KOSDAQ,기타 금속 가공제품 제조업
221800.KQ,221800,지구홀딩스,KOSDAQ,기타 과학기술 서비스업
432720.KQ,432720,퀄리타스반도체,KOSDAQ,반도체 제조업
351020.KS,351020,미쥬,KOSPI,봉제의복 제조업
396470.KQ,396470,워트,KOSDAQ,특수 목적용 기계 제조업
246250.KQ,246250,에스엘에스바이오,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업"
416180.KQ,416180,신성에스티,KOSDAQ,자동차 신품 부품 제조업
445180.KQ,445180,퓨릿,KOSDAQ,기초 화학물질 제조업
289170.KS,289170,바이오텐,KOSPI,기타 식품 제조업
451220.KQ,451220,아이엠티,KOSDAQ,특수 목적용 기계 제조업
443250.KQ,443250,레뷰코퍼레이션,KOSDAQ,광고업
454910.KS,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업
430690.KQ,430690,한싹,KOSDAQ,소프트웨어 개발 및 공급업
418470.KQ,418470,KT밀리의서재,KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업"
